Video,x0,y0,score0,x1,y1,score1,x2,y2,score2,x3,y3,score3,x4,y4,score4,x5,y5,score5,x6,y6,score6,x7,y7,score7,x8,y8,score8,x9,y9,score9,x10,y10,score10,x11,y11,score11,x12,y12,score12,x13,y13,score13,x14,y14,score14,x15,y15,score15,x16,y16,score16
data\videos\no_fall\02.mp4,0.30789807,0.498272,0.44487602,0.29780957,0.50882715,0.61269075,0.295933,0.4870496,0.47714016,0.3074289,0.52092034,0.7201679,0.30293292,0.4692933,0.6009356,0.37060833,0.5435237,0.6438669,0.37244156,0.43414423,0.5638365,0.4556659,0.5531227,0.5208287,0.45974535,0.41700372,0.40388715,0.50161916,0.5307239,0.35535318,0.48962998,0.4184968,0.39498252,0.49906498,0.51634717,0.6747098,0.4985261,0.45097166,0.5880146,0.5449564,0.49213096,0.35160357,0.54176414,0.3915813,0.60727835,0.7051681,0.4626835,0.49011457,0.7033228,0.41029713,0.62399876
data\videos\no_fall\02.mp4,0.3082027,0.5027583,0.5825272,0.2979144,0.5121633,0.43666428,0.29668945,0.4924716,0.5997883,0.3090033,0.52544326,0.67553675,0.30487508,0.4745346,0.76164675,0.37277412,0.54319346,0.37402245,0.3761831,0.4376163,0.4152046,0.45694533,0.5530579,0.54442775,0.45750836,0.4195255,0.40934575,0.50539035,0.53096235,0.38846833,0.48902413,0.4202192,0.4100933,0.5006002,0.5163472,0.6542579,0.4994907,0.45121175,0.6142335,0.5441708,0.49045178,0.32202345,0.5404117,0.39195502,0.5716512,0.7110073,0.45664382,0.57594943,0.7031029,0.4082553,0.62910056
data\videos\no_fall\02.mp4,0.3087866,0.5049069,0.579869,0.2990625,0.51349866,0.48861435,0.2969866,0.4951308,0.64000666,0.30822697,0.5270819,0.64892346,0.3036573,0.47654802,0.79886484,0.37110794,0.5490227,0.61201453,0.37291703,0.43458593,0.55667007,0.4592615,0.55508083,0.5201161,0.4681393,0.4184313,0.42493936,0.50173235,0.5331506,0.3907432,0.4937283,0.4209043,0.41546634,0.5037374,0.5148666,0.67229176,0.5005232,0.44995984,0.62121344,0.54917777,0.4878957,0.325332,0.54167086,0.39588144,0.6522547,0.7047868,0.46241304,0.4543665,0.7021855,0.41020304,0.67959857
data\videos\no_fall\02.mp4,0.31034422,0.5106748,0.5952235,0.30022502,0.51991916,0.65181905,0.29821375,0.5006017,0.47292167,0.3092294,0.5311908,0.4944641,0.30487347,0.48099738,0.74959505,0.37414452,0.5476395,0.5223838,0.37178808,0.4358087,0.5783237,0.45947483,0.5553495,0.5192653,0.46163216,0.41723225,0.425971,0.5025944,0.5373771,0.44041747,0.48889396,0.4225718,0.3919551,0.50674146,0.51530594,0.64071727,0.50318253,0.44813982,0.5728557,0.54097515,0.4975881,0.32495487,0.5414924,0.39048254,0.61851,0.70515424,0.4584935,0.50035405,0.70102227,0.41220132,0.6682447
data\videos\no_fall\02.mp4,0.32401186,0.5406813,0.5628186,0.31015563,0.5474357,0.48310524,0.30816272,0.53179836,0.4253879,0.31114247,0.5491322,0.5167794,0.30617332,0.5024761,0.68414295,0.37702563,0.5594779,0.46789822,0.36904344,0.44531846,0.65450466,0.467885,0.55674374,0.47843435,0.4595675,0.41992292,0.42123803,0.50234745,0.53732465,0.394513265,0.4929466,0.42154038,0.31397864,0.5120517,0.5185764,0.57164276,0.5030736,0.4534588,0.63127255,0.5355958,0.5002297,0.3752583,0.5395796,0.39498731,0.6517501,0.7049203,0.46123138,0.6033583,0.7030084,0.40930212,0.67139566
data\videos\no_fall\02.mp4,0.32965788,0.53964686,0.48909816,0.31942096,0.5469244,0.60785186,0.3143895,0.52614623,0.5568844,0.31824335,0.5563461,0.61661744,0.3090262,0.5035171,0.6728622,0.37790635,0.5638975,0.55774844,0.36377528,0.44942147,0.6609296,0.4647583,0.56545985,0.4308191,0.45566055,0.42278796,0.43822595,0.5021005,0.5372722,0.34860906,0.4904341,0.42617375,0.407789,0.5127719,0.51833993,0.60864246,0.5041025,0.4506683,0.64292115,0.55054724,0.49354562,0.30240765,0.5388627,0.3942941,0.63964474,0.7071952,0.46335748,0.4981331,0.7039154,0.40874216,0.6487732
data\videos\no_fall\02.mp4,0.33447522,0.5443932,0.39692858,0.32380933,0.5537577,0.6093465,0.32111573,0.53501594,0.5768174,0.319885,0.5590949,0.48316348,0.31359652,0.51148754,0.6324109,0.37880865,0.5621562,0.44663286,0.36769843,0.45483524,0.6529701,0.46733752,0.56640345,0.40009645,0.4549108,0.4235098,0.40751424,0.49347624,0.53480154,0.4245677,0.4969947,0.42018387,0.454295,0.508244,0.5235298,0.624431,0.5030193,0.46118563,0.62877023,0.5525664525,0.4930389425,0.30759940874999997,0.5393474,0.39368412,0.538335,0.7135589,0.46390083,0.64526224,0.70631963,0.40872708,0.52271366
data\videos\no_fall\02.mp4,0.342612,0.54212147,0.46884128,0.33379322,0.55053806,0.6120107,0.32892016,0.53158164,0.39402857,0.3299903,0.55972385,0.41990426,0.32050675,0.5130107,0.71839154,0.38442254,0.5650111,0.5878562,0.36056924,0.46209955,0.61737776,0.47212285,0.5656325,0.4598787,0.4418626,0.42817867,0.466844,0.49495554,0.53932834,0.32118672,0.483468,0.4321374,0.4188784,0.5114777,0.5181278,0.51165515,0.5035263,0.4572975,0.6048925,0.5545856650000001,0.492532265,0.31279116749999997,0.54349387,0.39296564,0.6356453,0.71418995,0.45791322,0.6792669,0.7035019,0.40628466,0.6510595
data\videos\no_fall\02.mp4,0.34336102,0.54951376,0.4169322,0.33601695,0.5596354,0.5459002,0.3312809,0.5390867,0.52200234,0.33192807,0.5663533,0.551085,0.3215545,0.52128434,0.6857766,0.38374415,0.5658197,0.59331,0.3586768,0.4748421,0.6099874,0.47318,0.56555265,0.48640993,0.42727843,0.4298077,0.53077435,0.49545379333333334,0.53927226,0.33874434,0.4689072,0.43618464,0.40863526,0.50784314,0.51724494,0.43235654,0.49937782,0.45547527,0.58384997,0.5566048775,0.49202558750000003,0.31798292624999996,0.5375001,0.3972403,0.6551761,0.71245724,0.46078974,0.6339793,0.6987771,0.40728766,0.6253941
data\videos\no_fall\02.mp4,0.34440222,0.5566133,0.4629233,0.3360918,0.5646738,0.63701844,0.33051834,0.5471849,0.42953417,0.331036,0.57437056,0.40049404,0.3206625,0.52772945,0.6746769,0.3811524,0.56888205,0.5855013,0.36216933,0.4781607,0.5537828,0.47089595,0.56964374,0.43752813,0.42995867,0.4275238,0.5381886,0.4959520466666667,0.53921618,0.35630196000000003,0.46248603,0.44032925,0.32855693,0.5048799,0.5128123,0.5470934,0.49809366,0.45396268,0.5102961,0.55862409,0.49151891000000003,0.323174685,0.53630143,0.3967943,0.66225576,0.71597046,0.4591763,0.6734644,0.6997408,0.40850544,0.5719702
data\videos\no_fall\02.mp4,0.35685843,0.56227773,0.3866703,0.348013,0.57353485,0.55264944,0.34209248,0.5547574,0.5457419,0.34121814,0.57427317,0.4683267,0.32552278,0.5331695,0.64083624,0.39333782,0.5748132,0.56853807,0.361169,0.48095107,0.5937027,0.47694683,0.5752353,0.47301644,0.43479583,0.4269621,0.50229955,0.4964503,0.5391601,0.37385958,0.4727428,0.4529807,0.34514254,0.51223034,0.5177615,0.5426194,0.50389045,0.46034712,0.6471289,0.5606433025,0.4910122325,0.32836644375,0.5358787,0.39806157,0.6851619,0.71506757,0.46009701,0.70182323,0.7057451,0.4103963,0.5551817
data\videos\no_fall\02.mp4,0.35121974,0.56791425,0.45690823,0.3445478,0.57643014,0.4879633,0.33550265,0.55807745,0.5492455,0.34034434,0.58513916,0.5949744,0.32095206,0.5385172,0.6950551,0.39184457,0.58270335,0.6134175,0.3524799,0.48476177,0.5082786,0.47498697,0.5841983,0.5546974,0.42070964,0.435369,0.47114575,0.49886075,0.551099,0.36876014,0.45315707,0.4472415,0.3186894,0.5075137,0.51735276,0.7035924,0.49847427,0.44876534,0.6991907,0.562662515,0.490505555,0.3335582025,0.5413134,0.392992,0.6959568,0.7165636,0.4598208,0.70037115,0.7015606,0.4058382,0.6756836
