Video,Confidence Percentage
01.mp4, 41.00%
02.mp4, 25.24%
03.mp4, 38.00%
04.mp4, 41.58%
05.mp4, 33.81%
06.mp4, 37.87%
07.mp4, 31.83%
08.mp4, 30.37%
09.mp4, 28.78%
10.mp4, 25.03%
11.mp4, 29.44%
12.mp4, 36.59%
13.mp4, 42.37%
14.mp4, 27.11%
15.mp4, 43.29%
16.mp4, 38.74%
17.mp4, 39.44%
18.mp4, 34.71%
19.mp4, 7.65%
20.mp4, 32.02%
21.mp4, 41.44%
22.mp4, 48.42%
23.mp4, 45.75%
24.mp4, 17.87%
25.mp4, 35.05%
26.mp4, 20.71%
27.mp4, 16.91%
28.mp4, 51.95%
29.mp4, 49.71%
30.mp4, 30.60%
31.mp4, 46.28%
32.mp4, 67.84%
33.mp4, 57.37%
34.mp4, 67.71%
35.mp4, 52.26%
36.mp4, 63.42%
37.mp4, 57.37%
38.mp4, 36.02%
39.mp4, 53.59%
40.mp4, 36.40%
41.mp4, 58.69%
42.mp4, 3.97%
43.mp4, 42.47%
44.mp4, 38.01%
45.mp4, 27.43%
46.mp4, 26.53%
47.mp4, 27.29%
48.mp4, 12.86%
49.mp4, 9.30%
50.mp4, 21.19%
51.mp4, 33.59%
52.mp4, 52.52%
53.mp4, 42.10%
54.mp4, 34.81%
55.mp4, 48.73%
56.mp4, 33.43%
57.mp4, 28.05%
58.mp4, 12.32%
59.mp4, 21.71%
60.mp4, 35.29%
61.mp4, 51.50%
62.mp4, 44.16%
63.mp4, 36.56%
64.mp4, 25.78%
65.mp4, 23.59%
66.mp4, 27.33%
67.mp4, 41.07%
68.mp4, 38.48%
69.mp4, 53.72%
70.mp4, 31.96%
71.mp4, 54.14%
72.mp4, 36.89%
73.mp4, 31.36%
74.mp4, 37.04%
75.mp4, 9.83%
76.mp4, 39.38%
77.mp4, 40.57%
78.mp4, 24.64%
79.mp4, 35.78%
