Video,Confidence Percentage
01.mp4, 21.85%
02.mp4, 28.94%
03.mp4, 26.60%
04.mp4, 68.72%
05.mp4, 62.31%
06.mp4, 62.75%
07.mp4, 78.49%
08.mp4, 81.79%
09.mp4, 76.11%
10.mp4, 77.39%
11.mp4, 72.71%
12.mp4, 75.26%
13.mp4, 69.52%
14.mp4, 66.58%
15.mp4, 74.81%
16.mp4, 57.13%
17.mp4, 43.51%
18.mp4, 33.39%
19.mp4, 44.63%
20.mp4, 62.87%
21.mp4, 61.70%
22.mp4, 74.25%
23.mp4, 85.55%
24.mp4, 82.32%
25.mp4, 56.40%
26.mp4, 74.36%
27.mp4, 80.87%
28.mp4, 13.32%
29.mp4, 51.72%
30.mp4, 26.29%
31.mp4, 1.84%
32.mp4, 1.22%
33.mp4, 49.82%
34.mp4, 53.01%
35.mp4, 15.88%
36.mp4, 74.13%
37.mp4, 47.25%
38.mp4, 65.57%
39.mp4, 51.93%
40.mp4, 77.01%
41.mp4, 50.68%
42.mp4, 74.88%
43.mp4, 71.01%
44.mp4, 59.97%
45.mp4, 83.41%
46.mp4, 11.04%
47.mp4, 25.53%
48.mp4, 60.23%
49.mp4, 53.54%
50.mp4, 51.03%
51.mp4, 36.52%
52.mp4, 17.07%
53.mp4, 45.12%
54.mp4, 59.50%
55.mp4, 48.51%
56.mp4, 71.75%
57.mp4, 80.55%
58.mp4, 56.53%
59.mp4, 64.15%
60.mp4, 58.70%
61.mp4, 75.68%
62.mp4, 83.64%
63.mp4, 49.70%
64.mp4, 57.20%
65.mp4, 57.51%
66.mp4, 68.49%
67.mp4, 27.48%
68.mp4, 68.13%
69.mp4, 13.34%
70.mp4, 21.85%
71.mp4, 25.92%
72.mp4, 37.65%
73.mp4, 55.20%
74.mp4, 66.48%
75.mp4, 25.71%
76.mp4, 33.08%
77.mp4, 64.96%
78.mp4, 86.92%
79.mp4, 90.98%
80.mp4, 88.91%
